sku,manufacturer,model,name,_yoast_wpseo_title,meta_keyword,parent mpn,parent sku,mpn,upc,stock_number_rsr,stock_number_lipseys,_regular_price,_msrp,images,additional_images,product_type,attribute_set_code,magento_categories,categories,product_online,weight,tax_class_name,visibility,display_product_options_in,product_websites,gender,type,headwear_type,gender,fastener,parent_color,color_h,type,material,details
120302,Oakley Standard Issue,,Oakley Worn Olive Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-70L-S-M,888896412011,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120303,Oakley Standard Issue,,Oakley Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-001-L-XL,888896348488,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120304,Oakley Standard Issue,,Oakley Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-001-S-M,888896348471,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120305,Oakley Standard Issue,,Oakley Shadow Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-20G-L-XL,888896348525,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120306,Oakley Standard Issue,,Oakley Shadow Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-20G-S-M,888896348518,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120307,Oakley Standard Issue,,Oakley Worn Olive Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-79B-L-XL,888896348501,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120308,Oakley Standard Issue,,Oakley Worn Olive Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-79B-S-M,888896348495,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120309,Oakley Standard Issue,,Oakley Coyote Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-86W-L-XL,888896348464,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/FDE / Tan,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120310,Oakley Standard Issue,,Oakley Coyote Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-86W-S-M,888896348457,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/FDE / Tan,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120311,Oakley Standard Issue,,Oakley MultiCam Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630A,OAK-911630A,911630A-02L-L-XL,190645256747,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Camo,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120312,Oakley Standard Issue,,Oakley MultiCam Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630A,OAK-911630A,911630A-02L-S-M,190645256730,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Camo,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
